description,prix,code,marque,date
Bananes biologiques,2.11,20139509001_KG,le Choix du Président,2019-07-14 23:03
Raisins verts sans pépins,4.46,20425775001_KG,None,2019-07-14 23:03
Raisins rouges sans pépins,5.42,20159199001_KG,None,2019-07-14 23:03
Raisins rouges,6.44,20319227001_KG,None,2019-07-14 23:03
Limes,0.48,20040489001_EA,None,2019-07-14 23:03
Citrons,0.68,20028593001_EA,None,2019-07-14 23:03
Clémentines,0.74,20072482001_KG,None,2019-07-14 23:03
Pamplemousse rouge,0.78,20166580001_EA,None,2019-07-14 23:03
Orange navel, moyen,1.11,20287659001_KG,None,2019-07-14 23:03
Oranges Navel,1.14,20426078001_KG,None,2019-07-14 23:03
Orange navel,2.98,20162945001_EA,Farmer’s Market,2019-07-14 23:03
Citrons,3.0,20795315001_EA,Farmer’s Market,2019-07-14 23:03
Orange biologique,3.98,20972628001_EA,None,2019-07-14 23:03
Clémentines,4.98,20095158001_EA,None,2019-07-14 23:03
Citrons biologiques,5.48,20146331001_EA,None,2019-07-14 23:03
Pamplepousse, Ruby Red,6.98,20118409001_EA,None,2019-07-14 23:03
Framboises,1.98,20128938001_EA,None,2019-07-14 23:03
Fraises,2.98,20972254001_EA,None,2019-07-14 23:03
Bleuets,2.98,20080137001_EA,None,2019-07-14 23:03
Mûres,4.98,20051015001_EA,None,2019-07-14 23:03
Framboises biologiques,4.98,20056190001_EA,None,2019-07-14 23:03
Fraises biologiques,4.98,20313872001_EA,None,2019-07-14 23:03
Cerises rouges,5.85,20159690001_KG,None,2019-07-14 23:03
Mûres,5.98,20128072001_EA,None,2019-07-14 23:03
Cerises Rainier,6.59,20161181001_KG,None,2019-07-14 23:03
Cerises,7.69,20058478001_KG,le Choix du Président,2019-07-14 23:03
Kiwis,0.88,20130242001_EA,None,2019-07-14 23:04
Kakis fuyu,1.28,20139417001_EA,None,2019-07-14 23:04
Mangues rouges,1.28,20059635001_EA,None,2019-07-14 23:04
Avocats,1.98,21097012001_EA,None,2019-07-14 23:04
Litchis,2.88,20967707001_EA,None,2019-07-14 23:04
Grenade,2.98,20134767001_EA,None,2019-07-14 23:04
Kiwis,2.98,20784643001_EA,None,2019-07-14 23:04
Mangues rouges,2.98,20948317001_EA,None,2019-07-14 23:04
Papaye mûre et prête à manger,3.67,20817066001_KG,None,2019-07-14 23:04
Ananas,3.98,20160992001_EA,None,2019-07-14 23:04
Kiwis,3.98,20024148_EA,None,2019-07-14 23:04
Gros ananas,3.98,20002956001_EA,le Choix du Président,2019-07-14 23:04
Avocat, 6 unités,5.98,20872671001_EA,None,2019-07-14 23:04
Avocats Hass,7.98,20680596001_EA,le Choix du Président,2019-07-14 23:04
Avocats Bag,9.98,21086003001_EA,sans nom,2019-07-14 23:04
Limes,0.48,20040489001_EA,None,2019-07-14 23:04
Citrons,0.68,20028593001_EA,None,2019-07-14 23:04
Citrons,3.0,20795315001_EA,Farmer’s Market,2019-07-14 23:04
Citrons biologiques,5.48,20146331001_EA,None,2019-07-14 23:04
Melons brésiliens,1.41,21022511001_KG,None,2019-07-14 23:04
Cantaloup,2.48,20167017001_EA,None,2019-07-14 23:04
Cantaloups biologiques,3.98,20127944001_EA,None,2019-07-14 23:04
Melon d’eau rouge sans pépins,3.98,20067326001_EA,None,2019-07-14 23:04
Melon miel,3.98,20045276001_EA,None,2019-07-14 23:04
Melons Hami,8.23,21051297001_KG,None,2019-07-14 23:04
Gingembre,0.92,20179038001_KG,None,2019-07-14 23:04
Ail à gros bulbe,1.1,20135581001_KG,None,2019-07-14 23:04
Ail pelé,1.98,20636099_EA,None,2019-07-14 23:04
Germes de haricot,2.48,20981940001_EA,None,2019-07-14 23:04
Ail,4.98,20433866_EA,Rooster,2019-07-14 23:04
Courgette,0.79,20426596001_KG,None,2019-07-14 23:04
Aubergine longue,1.09,20159013001_KG,None,2019-07-14 23:04
Aubergines pourpres,2.49,20155709001_KG,None,2019-07-14 23:04
Courgette verte biologique,2.98,20878973001_EA,None,2019-07-14 23:04
Rapini,3.48,20048070001_EA,None,2019-07-14 23:04
Fenouil,3.98,20003346001_EA,None,2019-07-14 23:04
Asperges,5.17,20174581001_KG,None,2019-07-14 23:04
Betteraves rouges,0.62,20150181001_KG,None,2019-07-14 23:04
Oignon jaune,0.79,20168304001_KG,None,2019-07-14 23:04
Oignon espagnol,0.93,20043212001_KG,None,2019-07-14 23:04
Ail,0.98,21004355001_EA,Rooster,2019-07-14 23:04
Pommes de terre rouges,1.13,20426724001_KG,None,2019-07-14 23:04
Pomme de terre Russet,1.4,20025548001_KG,None,2019-07-14 23:04
Pommes de terre à chair blanche,1.57,20025066001_KG,None,2019-07-14 23:04
Oignon rouge,1.62,20134101001_KG,None,2019-07-14 23:04
carottes,2.0,20053421_EA,le Choix du Président,2019-07-14 23:04
Oignon doux,2.01,20083454001_KG,None,2019-07-14 23:04
Navets,2.08,20136107001_KG,None,2019-07-14 23:04
Manioc,2.22,20087682001_KG,None,2019-07-14 23:04
Oignon blanc,2.43,20003839001_KG,None,2019-07-14 23:04
Mini-carottes,2.48,20117370001_EA,Farmer’s Market,2019-07-14 23:04
Carottes en botte,2.48,20047449001_EA,None,2019-07-14 23:04
Petits oignons blancs,2.48,20768179001_EA,None,2019-07-14 23:04
Lobok,2.65,20082109001_KG,None,2019-07-14 23:04
Patates douces,2.75,20127708001_KG,None,2019-07-14 23:04
Carottes nantaises,2.98,20426083_EA,None,2019-07-14 23:04
Little Gems Assorties Mini pommes de terre assorties,2.98,20125267_EA,le Choix du Président,2019-07-14 23:04
carottes coupées style miniature,2.98,20185409_EA,le Choix du Président,2019-07-14 23:04
Little Gems Dorées Mini pommes de terre à chair jaune,2.98,20035921_EA,le Choix du Président,2019-07-14 23:04
Carottes,2.98,20600927001_EA,Farmer’s Market,2019-07-14 23:04
Oignons jaunes,2.98,20811994001_EA,Farmer’s Market,2019-07-14 23:04
Échalote séchée,2.98,20293025_EA,None,2019-07-14 23:04
Betteraves rouges,2.98,20069522001_EA,None,2019-07-14 23:04
Little Gems Rousses Mini pommes de terre rouges,2.98,20078939_EA,le Choix du Président,2019-07-14 23:04
Patates douces de Jamaïque,3.24,20130919001_KG,None,2019-07-14 23:04
Oignons à cuire,3.48,20107532_EA,le Choix du Président,2019-07-14 23:04
betteraves rouges, jaunes et rayées mélange arc-en-ciel,3.48,20290963_EA,None,2019-07-14 23:04
panais ,3.98,20081596_EA,None,2019-07-14 23:04
Pommes de terre parisiennes,3.98,20044848_EA,None,2019-07-14 23:04
Plateau de patates pour cuisson,3.98,21035898001_EA,None,2019-07-14 23:04
OIGNON VIDALIA 2LB,3.98,21033608001_EA,None,2019-07-14 23:04
Rutabaga,4.78,20146539_EA,None,2019-07-14 23:04
Oignon,4.98,20941203001_EA,sans nom,2019-07-14 23:04
Mini-carottes,4.98,20031454001_EA,Farmer’s Market,2019-07-14 23:04
carottes coupées style miniature,4.98,20628932001_EA,le Choix du Président,2019-07-14 23:04
Pommes de terre Russet,4.98,20601020001_EA,Farmer’s Market,2019-07-14 23:04
Oignons rouges,4.98,20811362001_EA,Farmer’s Market,2019-07-14 23:04
Rutabaga,5.22,20164563001_KG,None,2019-07-14 23:04
Oignons jaunes,5.98,20600991001_EA,Farmer’s Market,2019-07-14 23:04
Pommes de terre rouges,5.98,20600999001_EA,Farmer’s Market,2019-07-14 23:04
Lait nordique biologique 2 %,6.29,20971271_EA,Nutrinor,2019-07-14 23:04
Lait nordique biologique 3,8 %,6.49,20971249_EA,Nutrinor,2019-07-14 23:04
Pommes de terre blanches,6.98,20112070001_EA,None,2019-07-14 23:04
Pommes de terre rouges,6.98,20009380_EA,le Choix du Président,2019-07-14 23:04
